TEAM,Milwaukee Bucks,Los Angeles Lakers,Denver Nuggets,Toronto Raptors,Indiana Pacers,Boston Celtics,Los Angeles Clippers,Miami Heat,Houston Rockets,Dallas Mavericks,Philadelphia 76ers,Sacramento Kings,Brooklyn Nets,Utah Jazz,Minnesota Timberwolves,Oklahoma City Thunder,Phoenix Suns,Washington Wizards,Charlotte Hornets,New Orleans Pelicans,Orlando Magic,Chicago Bulls,Portland Trail Blazers,Detroit Pistons,Memphis Grizzlies,San Antonio Spurs,New York Knicks,Cleveland Cavaliers,Golden State Warriors,Atlanta Hawks
FTA RATE,0.284,0.237,0.219,0.243,0.2,0.254,0.282,0.301,0.323,0.277,0.249,0.224,0.259,0.308,0.271,0.278,0.273,0.202,0.247,0.243,0.26,0.259,0.229,0.266,0.199,0.241,0.273,0.26,0.261,0.272
OPP EFG%,49.6,50.7,48,48.3,49.4,50.1,48.2,51.3,51.2,51.2,52.6,51.9,50,49.6,50.2,53.6,55.8,56.5,57.3,55.3,52.5,52.3,50.6,53,54.6,55.2,54.1,55.5,54.3,57.1
OPP FTA RATE,0.201,0.236,0.25,0.253,0.243,0.226,0.286,0.276,0.255,0.242,0.286,0.301,0.25,0.233,0.266,0.222,0.256,0.273,0.201,0.291,0.225,0.349,0.285,0.239,0.246,0.248,0.334,0.195,0.236,0.313
OPP TOV%,14.8,16.8,14.5,16.2,14.3,15.7,14.5,16.4,15.5,12,14.2,15.3,13.2,12.3,13.6,15,15.5,15.4,16,15.5,14.7,17.6,12.3,14.6,13.4,12.6,15.1,14,14.8,15.4
OPP OREB%,23.8,27.7,25.5,31,23.9,28.5,25.8,24.5,26.8,26.5,21.5,26.8,29.4,27.1,26.9,28.7,27.4,27.9,28.5,26.3,24.7,26.1,30.5,28.8,27.6,24.1,26.3,28.6,29.2,30.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,