TEAM,Milwaukee Bucks,Miami Heat,Oklahoma City Thunder,Boston Celtics,Denver Nuggets,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Dallas Mavericks,Los Angeles Lakers,Philadelphia 76ers,Toronto Raptors,Utah Jazz,Memphis Grizzlies,Chicago Bulls,Orlando Magic,San Antonio Spurs,Brooklyn Nets,Detroit Pistons,Portland Trail Blazers,Charlotte Hornets,Cleveland Cavaliers,Golden State Warriors,New Orleans Pelicans,New York Knicks,Phoenix Suns,Sacramento Kings,Washington Wizards,Atlanta Hawks,Minnesota Timberwolves
OPP FGM,37.3,40.4,40.8,37.5,40.3,42.5,39.9,40.1,39.1,38.1,40.1,39.1,39.9,40.8,36.2,40.7,43.3,39.2,42.5,41.1,39.7,44,39.9,40.5,41.1,43.3,39.8,43,44.4,42.4
OPP FGA,93.1,89.2,90.1,84.2,86,92.2,91.9,90.6,89.6,86.2,88.5,89.1,88.6,87.8,82.9,86.8,96,94.9,89.1,91.5,87.2,89.4,87,89.2,89.8,88.1,85.7,86.9,92,90.7
OPP FG%,40,45.3,45.3,44.5,46.8,46.1,43.4,44.3,43.6,44.2,45.3,43.9,45.1,46.5,43.7,46.9,45.1,41.3,47.6,45,45.6,49.2,45.9,45.4,45.8,49.1,46.4,49.5,48.3,46.7
OPP 3PM,13.5,13.5,10.7,10.5,10.7,12.3,10.6,11.2,11.1,11.9,9.9,12.9,11.3,12.1,10.6,13.3,12.4,12.6,12,13.1,11.3,13.3,13.3,11.9,14.4,12,12.6,13.3,9.8,11.9
OPP 3PA,38.5,38.6,32.9,30.8,32.5,34.6,33.6,33.6,34.6,34.3,29,39.1,30.7,31.9,32,34,38,37.1,32.3,33.8,35,34.1,36.3,34.9,36.9,30.5,34.7,33.9,28,32.3
OPP 3P%,35.2,35.1,32.7,34.3,32.9,35.6,31.5,33.3,32,34.6,34.3,33,36.7,37.8,33,39.2,32.7,34,37.1,38.9,32.4,39,36.7,34.2,39.1,39.3,36.2,39.1,34.9,36.7
OPP FTM,14.7,17.6,13.4,16.8,15,16.1,16.1,17.7,17.7,19.5,16.9,17.2,17.2,21,19.2,13.1,17.1,16.6,16.2,17.6,15.4,13.8,16.3,19.6,17.7,19.1,17.1,21.7,16.8,21.1
OPP FTA,19.5,23.5,16.9,22.9,19.8,21.2,21,22.4,22.5,24.3,21.9,22.2,22.4,26.4,24.7,17.7,22.8,22.2,20.7,23.7,19.5,17.9,20.4,24.5,25.1,24.5,21.1,28.2,22.4,25.7
OPP FT%,75.3,74.8,79.4,73.5,75.7,75.8,76.5,79.2,78.9,80.3,76.9,77.5,77,79.4,77.7,73.7,75.1,75,78.4,74.1,78.8,76.9,79.7,80.1,70.5,77.7,81.1,76.8,75.1,82.2
OPP OREB,9.9,9.5,10.5,9.1,10.7,10.9,12.5,11.2,10,9.6,8.9,10.9,9.3,9.6,9.6,10.4,11.5,12.1,10.7,11.4,11.1,9.1,9.9,9.5,11.1,8.7,9.6,10.3,11.4,11.3
OPP DREB,34.3,33.7,33,30.7,31.9,34.7,36.2,34.3,34.9,31,32.8,35.2,33.9,34.9,35.7,36.9,37.7,35.9,34,35.1,35.4,32.2,36.1,37,36.8,36.1,34.2,37,38.6,38.1
OPP REB,44.2,43.2,43.5,39.8,42.6,45.6,48.7,45.5,44.9,40.6,41.7,46.1,43.2,44.6,45.3,47.3,49.2,48,44.7,46.6,46.5,41.4,46,46.5,47.9,44.8,43.8,47.3,49.9,49.4
OPP AST,24,24.9,22.5,22,23.8,26.3,24.7,23.6,22.6,22.4,24.5,25.4,21.4,25.5,23.1,24.7,24.5,20.2,23.7,23.4,25.5,26,24,23.4,25.1,23.2,25.1,26.3,24.6,23.1
OPP TOV,14.3,11.9,13.9,15,14.9,14.9,13.3,15.6,12.7,14.7,13.1,16.8,12.1,14.8,18.2,16.1,14,12.6,13.7,12.4,14.1,12.2,16.5,13.9,13.1,15.9,14.5,16.3,16.2,15.2
OPP STL,8.3,6.9,7.4,7.7,7.2,7.5,6,8.5,7.3,8.6,7.1,6.8,9.9,7.6,9,7.2,7.8,6.7,7.8,7.4,7.9,10,8.6,7.8,7.1,7.9,7.6,6.3,9.3,7.1
OPP BLK,5.6,4.9,3.7,4.6,4.8,5,5.4,5,3.9,4.5,4.1,4.4,4.7,5,6,4.7,4,6.8,6.2,4.9,5.9,6.9,5.1,4.5,5.7,5.9,4.4,5,5.5,5.6
OPP BLKA,6.3,3.5,5.3,6.8,4.1,5.3,5,4.1,4.6,6.9,5.8,5.7,3.7,5,5.1,6.5,6.6,4.5,4.2,7.3,5,4,5.3,4.8,5.1,3.3,4.3,4,5.3,5.8
OPP PF,19.7,22.3,22.7,18.8,19.3,19.7,17.9,22.8,19.1,21.7,19.7,20.2,20.9,19.9,18.9,19,19,20.4,19.3,18.9,21.4,18.5,19.7,18.5,19.4,22.4,17.7,23,18.6,22.4
OPP PFD,17.8,19.6,18.7,21.8,18.6,20.8,18.9,20.1,18.9,21.4,19.9,20.8,20.7,21.6,20.9,17.2,19.2,20.1,17.4,21.6,20.3,16.8,19.9,20.5,21.8,22.1,20.4,22.8,20.6,21.2
OPP PTS,102.7,111.9,105.7,102.3,106.2,113.5,106.4,109.2,106.9,107.6,106.9,108.3,108.4,114.7,102.2,107.7,116,107.7,113.1,113,106.2,115.1,109.5,112.6,114.4,117.6,109.2,120.9,115.4,117.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,