date,time,away,score_away,home,score_home,audience,
"Sat, Feb 1, 2020",7:00p,New York Knicks,92,Indiana Pacers,85,"17,923",
"Sat, Feb 1, 2020",7:00p,Miami Heat,102,Orlando Magic,89,"18,846",
"Sat, Feb 1, 2020",8:00p,Golden State Warriors,131,Cleveland Cavaliers,112,"18,410",
"Sat, Feb 1, 2020",8:00p,Brooklyn Nets,107,Washington Wizards,113,"18,196",
"Sat, Feb 1, 2020",8:30p,Philadelphia 76ers,95,Boston Celtics,116,"19,156",
"Sat, Feb 1, 2020",8:30p,Atlanta Hawks,100,Dallas Mavericks,123,"20,328",
"Sat, Feb 1, 2020",9:00p,Charlotte Hornets,90,San Antonio Spurs,114,"18,615",
"Sat, Feb 1, 2020",10:00p,Los Angeles Lakers,129,Sacramento Kings,113,"17,583",
"Sat, Feb 1, 2020",10:30p,Utah Jazz,107,Portland Trail Blazers,124,"19,603",
"Sun, Feb 2, 2020",12:30p,Denver Nuggets,123,Detroit Pistons,128,"15,488",
"Sun, Feb 2, 2020",2:00p,New Orleans Pelicans,109,Houston Rockets,117,"18,055",
"Sun, Feb 2, 2020",2:00p,Phoenix Suns,108,Milwaukee Bucks,129,"17,754",
"Sun, Feb 2, 2020",3:00p,Chicago Bulls,102,Toronto Raptors,129,"19,800",
"Mon, Feb 3, 2020",7:00p,Orlando Magic,112,Charlotte Hornets,100,"12,337",
"Mon, Feb 3, 2020",7:00p,New York Knicks,139,Cleveland Cavaliers,134,"16,303",
"Mon, Feb 3, 2020",7:00p,Dallas Mavericks,112,Indiana Pacers,103,"15,086",
"Mon, Feb 3, 2020",7:00p,Golden State Warriors,125,Washington Wizards,117,"17,120",
"Mon, Feb 3, 2020",7:30p,Boston Celtics,123,Atlanta Hawks,115,"16,231",
"Mon, Feb 3, 2020",7:30p,Phoenix Suns,97,Brooklyn Nets,119,"14,891",
"Mon, Feb 3, 2020",7:30p,Philadelphia 76ers,106,Miami Heat,137,"19,725",
"Mon, Feb 3, 2020",8:00p,Detroit Pistons,82,Memphis Grizzlies,96,"14,597",
"Mon, Feb 3, 2020",10:00p,Minnesota Timberwolves,109,Sacramento Kings,113,"15,819",
"Mon, Feb 3, 2020",10:30p,San Antonio Spurs,105,Los Angeles Clippers,108,"19,068",
"Tue, Feb 4, 2020",7:30p,Milwaukee Bucks,120,New Orleans Pelicans,108,"15,424",
"Tue, Feb 4, 2020",8:00p,Charlotte Hornets,110,Houston Rockets,125,"18,055",
"Tue, Feb 4, 2020",9:00p,Portland Trail Blazers,99,Denver Nuggets,127,"19,520",
"Tue, Feb 4, 2020",10:00p,San Antonio Spurs,102,Los Angeles Lakers,129,"18,997",
"Wed, Feb 5, 2020",7:00p,Phoenix Suns,108,Detroit Pistons,116,"13,707",
"Wed, Feb 5, 2020",7:30p,Orlando Magic,100,Boston Celtics,116,"19,156",
"Wed, Feb 5, 2020",7:30p,Golden State Warriors,88,Brooklyn Nets,129,"14,352",
"Wed, Feb 5, 2020",7:30p,Indiana Pacers,118,Toronto Raptors,119,"19,800",
"Wed, Feb 5, 2020",8:00p,Atlanta Hawks,127,Minnesota Timberwolves,120,"10,779",
"Wed, Feb 5, 2020",8:00p,Cleveland Cavaliers,103,Oklahoma City Thunder,109,"18,203",
"Wed, Feb 5, 2020",8:30p,Memphis Grizzlies,121,Dallas Mavericks,107,"20,069",
"Wed, Feb 5, 2020",9:00p,Denver Nuggets,98,Utah Jazz,95,"18,306",
"Wed, Feb 5, 2020",10:00p,Miami Heat,111,Los Angeles Clippers,128,"19,068",
"Thu, Feb 6, 2020",7:30p,Orlando Magic,103,New York Knicks,105,"18,895",
"Thu, Feb 6, 2020",8:00p,New Orleans Pelicans,125,Chicago Bulls,119,"18,247",
"Thu, Feb 6, 2020",8:00p,Philadelphia 76ers,101,Milwaukee Bucks,112,"17,928",
"Thu, Feb 6, 2020",10:00p,San Antonio Spurs,117,Portland Trail Blazers,125,"19,653",
"Thu, Feb 6, 2020",10:30p,Houston Rockets,121,Los Angeles Lakers,111,"18,997",
"Fri, Feb 7, 2020",7:00p,Memphis Grizzlies,107,Philadelphia 76ers,119,"20,779",
"Fri, Feb 7, 2020",7:00p,Dallas Mavericks,118,Washington Wizards,119,"20,476",
"Fri, Feb 7, 2020",7:30p,Atlanta Hawks,107,Boston Celtics,112,"19,156",
"Fri, Feb 7, 2020",8:00p,Toronto Raptors,115,Indiana Pacers,106,"17,028",
"Fri, Feb 7, 2020",8:00p,Detroit Pistons,101,Oklahoma City Thunder,108,"18,203",
"Fri, Feb 7, 2020",9:00p,Houston Rockets,91,Phoenix Suns,127,"17,043",
"Fri, Feb 7, 2020",10:00p,Miami Heat,97,Sacramento Kings,105,"16,760",
"Fri, Feb 7, 2020",10:30p,Portland Trail Blazers,114,Utah Jazz,117,"18,306",
"Sat, Feb 8, 2020",5:00p,Milwaukee Bucks,111,Orlando Magic,95,"16,632",
"Sat, Feb 8, 2020",7:00p,Dallas Mavericks,116,Charlotte Hornets,100,"19,370",
"Sat, Feb 8, 2020",7:00p,New York Knicks,95,Detroit Pistons,92,"15,980",
"Sat, Feb 8, 2020",7:30p,New Orleans Pelicans,124,Indiana Pacers,117,"17,923",
"Sat, Feb 8, 2020",7:30p,Brooklyn Nets,118,Toronto Raptors,119,"19,800",
"Sat, Feb 8, 2020",8:00p,Los Angeles Clippers,115,Minnesota Timberwolves,142,"18,978",
"Sat, Feb 8, 2020",8:30p,Los Angeles Lakers,125,Golden State Warriors,120,"18,064",
"Sat, Feb 8, 2020",9:00p,Denver Nuggets,117,Phoenix Suns,108,"16,843",
"Sat, Feb 8, 2020",10:00p,San Antonio Spurs,102,Sacramento Kings,122,"16,756",
"Sun, Feb 9, 2020",3:30p,Boston Celtics,112,Oklahoma City Thunder,111,"18,203",
"Sun, Feb 9, 2020",6:00p,New York Knicks,135,Atlanta Hawks,140,"16,309",
"Sun, Feb 9, 2020",6:00p,Chicago Bulls,111,Philadelphia 76ers,118,"21,018",
"Sun, Feb 9, 2020",6:00p,Memphis Grizzlies,106,Washington Wizards,99,"17,251",
"Sun, Feb 9, 2020",7:00p,Utah Jazz,114,Houston Rockets,113,"18,055",
"Sun, Feb 9, 2020",7:30p,Los Angeles Clippers,133,Cleveland Cavaliers,92,"17,240",
"Sun, Feb 9, 2020",9:00p,Miami Heat,109,Portland Trail Blazers,115,"19,726",
"Mon, Feb 10, 2020",7:00p,Charlotte Hornets,87,Detroit Pistons,76,"13,941",
"Mon, Feb 10, 2020",7:00p,Brooklyn Nets,106,Indiana Pacers,105,"16,761",
"Mon, Feb 10, 2020",7:00p,Atlanta Hawks,126,Orlando Magic,135,"17,076",
"Mon, Feb 10, 2020",7:30p,Minnesota Timberwolves,126,Toronto Raptors,137,"19,800",
"Mon, Feb 10, 2020",8:00p,Sacramento Kings,111,Milwaukee Bucks,123,"17,463",
"Mon, Feb 10, 2020",8:30p,Utah Jazz,123,Dallas Mavericks,119,"19,793",
"Mon, Feb 10, 2020",9:00p,San Antonio Spurs,120,Denver Nuggets,127,"19,520",
"Mon, Feb 10, 2020",10:30p,Miami Heat,113,Golden State Warriors,101,"18,064",
"Mon, Feb 10, 2020",10:30p,Phoenix Suns,100,Los Angeles Lakers,125,"18,997",
"Tue, Feb 11, 2020",7:00p,Los Angeles Clippers,103,Philadelphia 76ers,110,"20,730",
"Tue, Feb 11, 2020",7:00p,Chicago Bulls,114,Washington Wizards,126,"15,135",
"Tue, Feb 11, 2020",8:00p,Portland Trail Blazers,117,New Orleans Pelicans,138,"15,739",
"Tue, Feb 11, 2020",8:00p,San Antonio Spurs,114,Oklahoma City Thunder,106,"18,203",
"Tue, Feb 11, 2020",9:30p,Boston Celtics,105,Houston Rockets,116,"18,055",
"Wed, Feb 12, 2020",7:00p,Atlanta Hawks,105,Cleveland Cavaliers,127,"16,200",
"Wed, Feb 12, 2020",7:00p,Detroit Pistons,112,Orlando Magic,116,"16,607",
"Wed, Feb 12, 2020",7:30p,Toronto Raptors,91,Brooklyn Nets,101,"15,823",
"Wed, Feb 12, 2020",7:30p,Milwaukee Bucks,111,Indiana Pacers,118,"17,018",
"Wed, Feb 12, 2020",7:30p,Washington Wizards,114,New York Knicks,96,"18,835",
"Wed, Feb 12, 2020",8:00p,Portland Trail Blazers,104,Memphis Grizzlies,111,"16,889",
"Wed, Feb 12, 2020",8:00p,Charlotte Hornets,115,Minnesota Timberwolves,108,"18,978",
"Wed, Feb 12, 2020",8:30p,Sacramento Kings,111,Dallas Mavericks,130,"19,842",
"Wed, Feb 12, 2020",9:00p,Golden State Warriors,106,Phoenix Suns,112,"15,216",
"Wed, Feb 12, 2020",9:00p,Miami Heat,101,Utah Jazz,116,"18,306",
"Wed, Feb 12, 2020",10:00p,Los Angeles Lakers,120,Denver Nuggets,116,"19,860",
"Thu, Feb 13, 2020",8:00p,Los Angeles Clippers,133,Boston Celtics,141,"19,156",
"Thu, Feb 13, 2020",8:00p,Oklahoma City Thunder,123,New Orleans Pelicans,118,"17,865",
"Thu, Feb 20, 2020",7:00p,Milwaukee Bucks,126,Detroit Pistons,106,"16,097",
"Thu, Feb 20, 2020",7:30p,Miami Heat,124,Atlanta Hawks,129,"17,356",
"Thu, Feb 20, 2020",8:00p,Charlotte Hornets,103,Chicago Bulls,93,"17,463",
"Thu, Feb 20, 2020",8:00p,Brooklyn Nets,104,Philadelphia 76ers,112,"20,806",
"Thu, Feb 20, 2020",10:00p,Memphis Grizzlies,125,Sacramento Kings,129,"17,078",
"Thu, Feb 20, 2020",10:30p,Houston Rockets,135,Golden State Warriors,105,"18,064",
"Fri, Feb 21, 2020",7:00p,Dallas Mavericks,122,Orlando Magic,106,"18,846",
"Fri, Feb 21, 2020",7:00p,Cleveland Cavaliers,113,Washington Wizards,108,"18,895",
"Fri, Feb 21, 2020",7:30p,Indiana Pacers,106,New York Knicks,98,"19,812",
"Fri, Feb 21, 2020",7:30p,Phoenix Suns,101,Toronto Raptors,118,"19,800",
"Fri, Feb 21, 2020",8:00p,Boston Celtics,127,Minnesota Timberwolves,117,"18,978",
"Fri, Feb 21, 2020",8:00p,Denver Nuggets,101,Oklahoma City Thunder,113,"18,203",
"Fri, Feb 21, 2020",9:00p,San Antonio Spurs,113,Utah Jazz,104,"18,306",
"Fri, Feb 21, 2020",10:30p,Memphis Grizzlies,105,Los Angeles Lakers,117,"18,997",
"Fri, Feb 21, 2020",10:30p,New Orleans Pelicans,128,Portland Trail Blazers,115,"19,946",
"Sat, Feb 22, 2020",3:30p,Sacramento Kings,112,Los Angeles Clippers,103,"19,068",
"Sat, Feb 22, 2020",7:00p,Brooklyn Nets,115,Charlotte Hornets,86,"19,079",
"Sat, Feb 22, 2020",7:30p,Dallas Mavericks,107,Atlanta Hawks,111,"17,050",
"Sat, Feb 22, 2020",8:00p,Phoenix Suns,112,Chicago Bulls,104,"20,506",
"Sat, Feb 22, 2020",8:00p,Cleveland Cavaliers,105,Miami Heat,124,"19,754",
"Sat, Feb 22, 2020",8:30p,Philadelphia 76ers,98,Milwaukee Bucks,119,"18,290",
"Sat, Feb 22, 2020",9:00p,Houston Rockets,120,Utah Jazz,110,"18,306",
"Sun, Feb 23, 2020",3:30p,Boston Celtics,112,Los Angeles Lakers,114,"18,997",
"Sun, Feb 23, 2020",6:00p,Minnesota Timberwolves,116,Denver Nuggets,128,"19,626",
"Sun, Feb 23, 2020",6:00p,Indiana Pacers,81,Toronto Raptors,127,"19,800",
"Sun, Feb 23, 2020",7:00p,Washington Wizards,117,Chicago Bulls,126,"18,024",
"Sun, Feb 23, 2020",7:00p,San Antonio Spurs,103,Oklahoma City Thunder,131,"18,203",
"Sun, Feb 23, 2020",8:30p,New Orleans Pelicans,115,Golden State Warriors,101,"18,064",
"Sun, Feb 23, 2020",9:00p,Detroit Pistons,104,Portland Trail Blazers,107,"19,393",
"Mon, Feb 24, 2020",7:00p,Miami Heat,119,Cleveland Cavaliers,125,"17,336",
"Mon, Feb 24, 2020",7:00p,Atlanta Hawks,112,Philadelphia 76ers,129,"20,836",
"Mon, Feb 24, 2020",7:00p,Milwaukee Bucks,137,Washington Wizards,134,"16,580",
"Mon, Feb 24, 2020",7:30p,Orlando Magic,115,Brooklyn Nets,113,"16,162",
"Mon, Feb 24, 2020",8:00p,New York Knicks,112,Houston Rockets,123,"18,055",
"Mon, Feb 24, 2020",8:30p,Minnesota Timberwolves,123,Dallas Mavericks,139,"19,936",
"Mon, Feb 24, 2020",9:00p,Phoenix Suns,131,Utah Jazz,111,"18,306",
"Mon, Feb 24, 2020",10:30p,Memphis Grizzlies,97,Los Angeles Clippers,124,"19,068",
"Tue, Feb 25, 2020",7:00p,Charlotte Hornets,80,Indiana Pacers,119,"16,088",
"Tue, Feb 25, 2020",7:30p,Milwaukee Bucks,108,Toronto Raptors,97,"19,993",
"Tue, Feb 25, 2020",8:00p,Oklahoma City Thunder,124,Chicago Bulls,122,"16,911",
"Tue, Feb 25, 2020",9:00p,Detroit Pistons,98,Denver Nuggets,115,"19,143",
"Tue, Feb 25, 2020",10:00p,New Orleans Pelicans,109,Los Angeles Lakers,118,"18,997",
"Tue, Feb 25, 2020",10:00p,Boston Celtics,118,Portland Trail Blazers,106,"19,460",
"Tue, Feb 25, 2020",10:30p,Sacramento Kings,112,Golden State Warriors,94,"18,064",
"Wed, Feb 26, 2020",7:00p,New York Knicks,101,Charlotte Hornets,107,"13,152",
"Wed, Feb 26, 2020",7:00p,Philadelphia 76ers,94,Cleveland Cavaliers,108,"16,332",
"Wed, Feb 26, 2020",7:00p,Brooklyn Nets,106,Washington Wizards,110,"15,021",
"Wed, Feb 26, 2020",7:30p,Orlando Magic,130,Atlanta Hawks,120,"14,967",
"Wed, Feb 26, 2020",7:30p,Minnesota Timberwolves,129,Miami Heat,126,"19,600",
"Wed, Feb 26, 2020",8:00p,Memphis Grizzlies,112,Houston Rockets,140,"18,055",
"Wed, Feb 26, 2020",8:30p,Dallas Mavericks,109,San Antonio Spurs,103,"18,354",
"Wed, Feb 26, 2020",9:00p,Los Angeles Clippers,102,Phoenix Suns,92,"15,157",
"Wed, Feb 26, 2020",10:30p,Boston Celtics,114,Utah Jazz,103,"18,306",
"Thu, Feb 27, 2020",7:00p,New York Knicks,106,Philadelphia 76ers,115,"20,175",
"Thu, Feb 27, 2020",8:00p,Portland Trail Blazers,100,Indiana Pacers,106,"16,872",
"Thu, Feb 27, 2020",8:00p,Sacramento Kings,108,Oklahoma City Thunder,112,"18,203",
"Thu, Feb 27, 2020",10:30p,Los Angeles Lakers,116,Golden State Warriors,86,"18,064",
"Fri, Feb 28, 2020",7:00p,Minnesota Timberwolves,125,Orlando Magic,136,"18,846",
"Fri, Feb 28, 2020",7:30p,Brooklyn Nets,118,Atlanta Hawks,141,"17,034",
"Fri, Feb 28, 2020",7:30p,Charlotte Hornets,99,Toronto Raptors,96,"19,800",
"Fri, Feb 28, 2020",8:00p,Sacramento Kings,104,Memphis Grizzlies,101,"17,794",
"Fri, Feb 28, 2020",8:00p,Dallas Mavericks,118,Miami Heat,126,"19,704",
"Fri, Feb 28, 2020",8:00p,Oklahoma City Thunder,86,Milwaukee Bucks,133,"18,412",
"Fri, Feb 28, 2020",8:00p,Cleveland Cavaliers,104,New Orleans Pelicans,116,"18,304",
"Fri, Feb 28, 2020",9:00p,Detroit Pistons,113,Phoenix Suns,111,"17,142",
"Fri, Feb 28, 2020",9:00p,Washington Wizards,119,Utah Jazz,129,"18,306",
"Fri, Feb 28, 2020",10:30p,Denver Nuggets,103,Los Angeles Clippers,132,"19,068",
"Sat, Feb 29, 2020",5:00p,Chicago Bulls,115,New York Knicks,125,"19,812",
"Sat, Feb 29, 2020",7:30p,Portland Trail Blazers,117,Atlanta Hawks,129,"17,765",
"Sat, Feb 29, 2020",7:30p,Brooklyn Nets,113,Miami Heat,116,"19,600",
"Sat, Feb 29, 2020",8:00p,Indiana Pacers,113,Cleveland Cavaliers,104,"19,432",
"Sat, Feb 29, 2020",8:00p,Los Angeles Lakers,88,Memphis Grizzlies,105,"17,794",
"Sat, Feb 29, 2020",8:30p,Houston Rockets,111,Boston Celtics,110,"19,156",
"Sat, Feb 29, 2020",8:30p,Orlando Magic,113,San Antonio Spurs,114,"18,354",
"Sat, Feb 29, 2020",9:00p,Golden State Warriors,115,Phoenix Suns,99,"16,395",
"Sun, Mar 1, 2020",1:00p,Milwaukee Bucks,93,Charlotte Hornets,85,"19,149",
"Sun, Mar 1, 2020",3:30p,Philadelphia 76ers,130,Los Angeles Clippers,136,"19,068",
"Sun, Mar 1, 2020",3:30p,Dallas Mavericks,111,Minnesota Timberwolves,91,"18,058",
"Sun, Mar 1, 2020",6:00p,Toronto Raptors,118,Denver Nuggets,133,"19,777",
"Sun, Mar 1, 2020",6:00p,Detroit Pistons,100,Sacramento Kings,106,"17,499",
"Sun, Mar 1, 2020",8:00p,Los Angeles Lakers,122,New Orleans Pelicans,114,"18,547",
"Sun, Mar 1, 2020",8:30p,Washington Wizards,124,Golden State Warriors,110,"18,064",
"Mon, Mar 2, 2020",7:00p,Utah Jazz,126,Cleveland Cavaliers,113,"15,453",
"Mon, Mar 2, 2020",7:00p,Houston Rockets,123,New York Knicks,125,"18,142",
"Mon, Mar 2, 2020",7:00p,Portland Trail Blazers,130,Orlando Magic,107,"18,078",
"Mon, Mar 2, 2020",7:30p,Memphis Grizzlies,127,Atlanta Hawks,88,"16,207",
"Mon, Mar 2, 2020",7:30p,Milwaukee Bucks,89,Miami Heat,105,"19,600",
"Mon, Mar 2, 2020",8:00p,Dallas Mavericks,107,Chicago Bulls,109,"18,407",
"Mon, Mar 2, 2020",8:30p,Indiana Pacers,116,San Antonio Spurs,111,"17,635",
"Tue, Mar 3, 2020",7:00p,San Antonio Spurs,104,Charlotte Hornets,103,"12,008",
"Tue, Mar 3, 2020",7:30p,Brooklyn Nets,129,Boston Celtics,120,"19,156",
"Tue, Mar 3, 2020",8:00p,Minnesota Timberwolves,139,New Orleans Pelicans,134,"15,264",
"Tue, Mar 3, 2020",8:00p,Los Angeles Clippers,109,Oklahoma City Thunder,94,"18,203",
"Tue, Mar 3, 2020",9:00p,Golden State Warriors,116,Denver Nuggets,100,"19,520",
"Tue, Mar 3, 2020",9:00p,Toronto Raptors,123,Phoenix Suns,114,"15,553",
"Tue, Mar 3, 2020",10:00p,Philadelphia 76ers,107,Los Angeles Lakers,120,"18,997",
"Tue, Mar 3, 2020",10:00p,Washington Wizards,126,Sacramento Kings,133,"16,419",
"Wed, Mar 4, 2020",7:00p,Boston Celtics,112,Cleveland Cavaliers,106,"16,897",
"Wed, Mar 4, 2020",7:00p,Oklahoma City Thunder,114,Detroit Pistons,107,"15,138",
"Wed, Mar 4, 2020",7:00p,Indiana Pacers,100,Milwaukee Bucks,119,"17,695",
"Wed, Mar 4, 2020",7:30p,Memphis Grizzlies,118,Brooklyn Nets,79,"16,941",
"Wed, Mar 4, 2020",7:30p,Utah Jazz,112,New York Knicks,104,"16,588",
"Wed, Mar 4, 2020",7:30p,Orlando Magic,113,Miami Heat,116,"19,600",
"Wed, Mar 4, 2020",8:00p,Chicago Bulls,108,Minnesota Timberwolves,115,"13,392",
"Wed, Mar 4, 2020",9:30p,New Orleans Pelicans,123,Dallas Mavericks,127,"20,459",
"Wed, Mar 4, 2020",10:00p,Washington Wizards,104,Portland Trail Blazers,125,"19,393",
"Thu, Mar 5, 2020",7:00p,Denver Nuggets,114,Charlotte Hornets,112,"13,311",
"Thu, Mar 5, 2020",8:00p,Los Angeles Clippers,120,Houston Rockets,105,"18,055",
"Thu, Mar 5, 2020",10:00p,Philadelphia 76ers,125,Sacramento Kings,108,"15,485",
"Thu, Mar 5, 2020",10:30p,Toronto Raptors,121,Golden State Warriors,113,"18,064",
"Fri, Mar 6, 2020",7:00p,Atlanta Hawks,112,Washington Wizards,118,"17,856",
"Fri, Mar 6, 2020",7:30p,San Antonio Spurs,120,Brooklyn Nets,139,"16,277",
"Fri, Mar 6, 2020",7:30p,Oklahoma City Thunder,126,New York Knicks,103,"19,499",
"Fri, Mar 6, 2020",8:00p,Indiana Pacers,108,Chicago Bulls,102,"20,229",
"Fri, Mar 6, 2020",8:00p,Orlando Magic,132,Minnesota Timberwolves,118,"14,315",
"Fri, Mar 6, 2020",8:00p,Miami Heat,104,New Orleans Pelicans,110,"18,384",
"Fri, Mar 6, 2020",8:00p,Utah Jazz,99,Boston Celtics,94,"19,156",
"Fri, Mar 6, 2020",8:30p,Memphis Grizzlies,96,Dallas Mavericks,121,"20,370",
"Fri, Mar 6, 2020",9:00p,Portland Trail Blazers,117,Phoenix Suns,127,"15,522",
"Fri, Mar 6, 2020",10:30p,Milwaukee Bucks,103,Los Angeles Lakers,113,"18,997",
"Sat, Mar 7, 2020",5:00p,Houston Rockets,99,Charlotte Hornets,108,"19,159",
"Sat, Mar 7, 2020",7:00p,Utah Jazz,111,Detroit Pistons,105,"16,590",
"Sat, Mar 7, 2020",7:30p,Denver Nuggets,102,Cleveland Cavaliers,104,"19,432",
"Sat, Mar 7, 2020",8:00p,Atlanta Hawks,101,Memphis Grizzlies,118,"17,117",
"Sat, Mar 7, 2020",8:30p,Philadelphia 76ers,114,Golden State Warriors,118,"18,064",
"Sat, Mar 7, 2020",10:00p,Sacramento Kings,123,Portland Trail Blazers,111,"19,691",
"Sun, Mar 8, 2020",3:00p,Chicago Bulls,107,Brooklyn Nets,110,"15,916",
"Sun, Mar 8, 2020",3:30p,New Orleans Pelicans,120,Minnesota Timberwolves,107,"18,978",
"Sun, Mar 8, 2020",3:30p,Los Angeles Lakers,112,Los Angeles Clippers,103,"19,068",
"Sun, Mar 8, 2020",6:00p,Oklahoma City Thunder,105,Boston Celtics,104,"19,156",
"Sun, Mar 8, 2020",6:00p,Milwaukee Bucks,131,Phoenix Suns,140,"17,282",
"Sun, Mar 8, 2020",7:00p,Miami Heat,100,Washington Wizards,89,"18,135",
"Sun, Mar 8, 2020",7:00p,Indiana Pacers,112,Dallas Mavericks,109,"20,324",
"Sun, Mar 8, 2020",7:00p,Orlando Magic,126,Houston Rockets,106,"18,055",
"Sun, Mar 8, 2020",7:30p,Detroit Pistons,84,New York Knicks,96,"18,361",
"Sun, Mar 8, 2020",7:30p,San Antonio Spurs,129,Cleveland Cavaliers,132,"17,995",
"Sun, Mar 8, 2020",9:00p,Toronto Raptors,118,Sacramento Kings,113,"16,449",
"Mon, Mar 9, 2020",7:30p,Charlotte Hornets,138,Atlanta Hawks,143,"14,399",
"Mon, Mar 9, 2020",9:00p,Milwaukee Bucks,95,Denver Nuggets,109,"19,838",
"Mon, Mar 9, 2020",9:00p,Toronto Raptors,101,Utah Jazz,92,"18,306",
"Tue, Mar 10, 2020",7:00p,New York Knicks,115,Washington Wizards,122,"15,048",
"Tue, Mar 10, 2020",7:00p,Boston Celtics,114,Indiana Pacers,111,"17,053",
"Tue, Mar 10, 2020",8:00p,Minnesota Timberwolves,111,Houston Rockets,117,"18,055",
"Tue, Mar 10, 2020",8:00p,Dallas Mavericks,109,San Antonio Spurs,119,"18,354",
"Tue, Mar 10, 2020",8:00p,Orlando Magic,120,Memphis Grizzlies,115,"15,388",
"Tue, Mar 10, 2020",8:00p,Cleveland Cavaliers,103,Chicago Bulls,108,"17,837",
"Tue, Mar 10, 2020",10:00p,Phoenix Suns,105,Portland Trail Blazers,121,"19,393",
"Tue, Mar 10, 2020",10:30p,Brooklyn Nets,104,Los Angeles Lakers,102,"18,997",
"Tue, Mar 10, 2020",10:30p,Los Angeles Clippers,131,Golden State Warriors,107,"18,064",
"Wed, Mar 11, 2020",7:00p,Detroit Pistons,106,Philadelphia 76ers,124,"20,172",
"Wed, Mar 11, 2020",7:30p,New York Knicks,136,Atlanta Hawks,131,"15,393",
"Wed, Mar 11, 2020",7:30p,Charlotte Hornets,109,Miami Heat,98,"19,600",
"Wed, Mar 11, 2020",8:00p,Denver Nuggets,97,Dallas Mavericks,113,"20,302",